Dia_seq;Data;PodCast;Tema;Tempo_audio
1;08/11/2022;1;O poder do comprometimento.;0:08:01
2;09/11/2022;2;Sua verdade, sua Vida e quem você é. É importante na hora da entrevista para Cientista de Dados.;0:10:32
3;10/11/2022;3;Tomar decisões importantes.;0:09:48
4;11/11/2022;4;Como melhorar seu desempenho para ser um Cientista de Dados Profissional.;0:10:03
5;12/11/2022;5;Rotina faz bem para o Cientista de Dados.;0:05:36
6;13/11/2022;6;Aprenda todos os dias onde menos se espera.;0:04:24
7;14/11/2022;7;Enxergando ouro numa pedra bruta.;0:10:18
8;15/11/2022;8;Saber se vender é muito importante.;0:05:29
9;16/11/2022;9;Como meu pai me explicou a importância dos Estudos.;0:07:03
10;17/11/2022;10;Seja obstinado por seu sonho de ser Cientista de Dados.;0:02:28
11;18/11/2022;11;Como o uso do Papel e caneta fez milagre.;0:08:58
12;19/11/2022;12;No começo, procure alternativas.;0:08:06
13;20/11/2022;13;Qual seria minha primeira Máquina preditiva se fosse contratado hoje?;0:07:17
14;21/11/2022;14;Visão, Coragem e Competência.;0:07:52
15;22/11/2022;15;A correria do dia a dia.;0:04:16
16;23/11/2022;16;O processo é importante.;0:08:43
17;24/11/2022;17;É a matemática, man!;0:07:29
18;25/11/2022;18;O custo para ser Cientista de Dados.;0:08:29
19;26/11/2022;19;O que a copa do mundo tem a ver com a Ciência de Dados?;0:06:28
20;27/11/2022;20;As exigências do mercado de TI.;0:09:03
21;28/11/2022;21;Quem vence? O Python....;0:05:55
22;29/11/2022;22;Celebre os bons resultados .;0:04:42
23;30/11/2022;23;Algumas possibilidades intermediárias.;0:07:36
24;01/12/2022;24;Não tenho tempo para me dedicar.;0:04:45
25;02/12/2022;25;Nenhum plano sobrevive ao campo de batalha.;0:07:39
26;03/12/2022;26;Quando desistir não é opção o sucesso é inevitável.;0:07:38
27;04/12/2022;27;Descansar para recarregar energia.;0:06:02
28;05/12/2022;28;Nós somos o que fazemos repetidas vezes.;0:11:59
29;06/12/2022;29;Deu zebra. E Agora?;0:06:38
30;07/12/2022;30;Como lidar com bloqueios?;0:05:10
31;08/12/2022;31;Celebre.;0:08:51
32;09/12/2022;32;Perdeu, faz o dobro.;0:05:47
33;10/12/2022;33;Derrotas são doloridas, mas são necessárias.;0:07:21
34;11/12/2022;34;Como monetizar seu conhecimento.;0:08:06
35;12/12/2022;35;Dados é o poder.;0:07:58
36;13/12/2022;36;Qual é o impacto que você quer causar como Cientista de Dados?;0:07:49
37;14/12/2022;37;Existe jeito fácil?;0:07:25
38;15/12/2022;38;Por onde começar mais rápido?;0:07:48
39;16/12/2022;39;Saber usar os Dados, é um dever.;0:08:55
40;17/12/2022;40;Sua vida pessoal importa.;0:04:28
41;18/12/2022;41;Se você desistir, você não vai construir essa história.;0:04:50
42;19/12/2022;42;Aprendemos por Reforço.;0:10:25
43;20/12/2022;43;Vibe do lowcode.;0:09:13
44;21/12/2022;44;Não existe formação obrigatória para trabalhar com DADOS.;0:09:59
45;22/12/2022;45;Feito é melhor que Perfeito.;0:06:36
46;23/12/2022;46;Comece 2023 com o Objetivo em mente.;0:07:04
47;24/12/2022;47;Celebre principalmente nas dificuldades.;0:03:52
48;25/12/2022;48;Rito de passagem ...;0:06:37
49;26/12/2022;49;Nem sempre você vai ter vontade. Mas vai lá e faça.;0:07:31
